Location,Annual_appreciation,BRL_per_squared_meter
"São Paulo, SP",0.04826666666666666,10263
"Rio de Janeiro, RJ",0.020766666666666666,9872
"Belo Horizonte, MG",0.07023333333333333,7707
"Brasília, DF",0.0033666666666666667,8800
"Salvador, BA",0.0613,5618
"Fortaleza, CE",0.07313333333333333,6875
"Recife, PE",0.1139,7274
"Porto Alegre, RS",0.02576666666666667,6552
"Curitiba, PR",0.12463333333333333,8556
"Florianópolis, SC",0.11196666666666667,9795
"Vitória, ES",0.14483333333333331,10301
"Goiânia, GO",0.1898,6348
"João Pessoa, PB",0.10966666666666668,5534
"Campo Grande, MS",0.13603333333333334,5400
"Maceió, AL",0.1267,7261
"Manaus, AM",0.0788,5958
"Barueri, SP",0.0962,8786
"Campinas, SP",0.0446,5739
"Diadema, SP",0.07513333333333333,5917
"Guarujá, SP",0.08526666666666667,5636
"Guarulhos, SP",0.0712,5774
"Osasco, SP",0.08886666666666666,6808
"Praia Grande, SP",0.1384,5143
"Ribeirão Preto, SP",0.0551,4400
"Santo André, SP",0.09576666666666667,6466
"Santos, SP",0.0823,5982
"São Bernardo do Campo, SP",0.060533333333333335,5657
"São Caetano do Sul, SP",0.11103333333333333,7471
"São José do Rio Preto, SP",0.04413333333333334,4799
"São José dos Campos, SP",0.16356666666666667,6886
"São Vicente, SP",0.026733333333333335,4153
"Betim, MG",0.08433333333333333,3605
"Contagem, MG",0.032466666666666665,4475
"Londrina, PR",0.05096666666666666,4413
"São José dos Pinhais, PR",0.08673333333333333,4367
"Canoas, RS",-0.010533333333333334,4885
"Caxias do Sul, RS",0.08493333333333335,4895
"Novo Hamburgo, RS",0.0784,4582
"Pelotas, RS",0.026933333333333333,4089
"Santa Maria, RS",0.021400000000000002,4752
"São Leopoldo, RS",0.042166666666666665,4349
"Niterói, RJ",0.0058,6772
"Balneário Camboriú, SC",0.205,11681
"Blumenau, SC",0.16780000000000003,5561
"Itajaí, SC",0.15843333333333334,9456
"Itapema, SC",0.17176666666666665,10818
"Joinville, SC",0.09526666666666667,5998
"São José, SC",0.16376666666666667,6112
"Vila Velha, ES",0.16970000000000005,7360
"Jaboatão dos Guararape, PE",0.06143333333333333,5058
